,ID,LtrGrade,Department,Grade,Term_GPA,Course,Name,Age,Attendance,Gender,Latino,Race,ZIP,LAT,LNG,ProfID
2748,2017000101,D,Natural Sciences,63.34,1.15,BIO 105,Introductory Biology I and LAB,20,100%,2,Yes,1,92029,33.0824,-117.127641,31
2750,2017000101,C+,Integrated Core,78.1,1.15,INT 100,Interdisciplinary Studies,20,100%,2,Yes,1,92029,33.0824,-117.127641,28
2751,2017000101,F,General Education,47.3,1.15,MTH 100,College Algebra,20,93.33%,2,Yes,1,92029,33.0824,-117.127641,16
2753,2017000101,D+,Natural Sciences,68.67,1.15,CHE 105,General Chemistry I and LAB,20,100%,2,Yes,1,92029,33.0824,-117.127641,31
2754,2017000101,B,Integrated Core,83.0,2.08,INT 110,Critical Reasoning,20,97.73%,2,Yes,1,92029,33.0824,-117.127641,29
2755,2017000101,D+,Kinesiology,66.0,2.08,KIN 100,Fundamentals of Nutrition,20,83.33%,2,Yes,1,92029,33.0824,-117.127641,40
2756,2017000101,B-,General Education,80.0,2.08,WRI 100,College Composition I,20,88.37%,2,Yes,1,92029,33.0824,-117.127641,10
2759,2017000101,B,Integrated Core,83.5,3.31,INT 200,Classical Rhetoric,20,90%,2,Yes,1,92029,33.0824,-117.127641,25
2760,2017000101,B,Kinesiology,84.91,3.31,KIN 150,Intro to Athletic Training,20,100%,2,Yes,1,92029,33.0824,-117.127641,51
2761,2017000101,B,Kinesiology,85.88,3.31,KIN 200,Introduction to Kinesiology,20,96.88%,2,Yes,1,92029,33.0824,-117.127641,77
2763,2017000101,P+,Other,100.0,3.31,Chapel,Chapel,20,96.97%,2,Yes,1,92029,33.0824,-117.127641,46
2769,2017000102,A-,Natural Sciences,90.95,3.77,BIO 105,Introductory Biology I and LAB,22,100%,2,No,1,92028,33.390477000000004,-117.209427,31
2771,2017000102,A,Kinesiology,97.2,3.77,KIN 100,Fundamentals of Nutrition,22,96.15%,2,No,1,92028,33.390477000000004,-117.209427,40
2772,2017000102,A-,Kinesiology,91.93,3.77,KIN 150,Intro to Athletic Training,22,96.55%,2,No,1,92028,33.390477000000004,-117.209427,51
2773,2017000102,A-,Kinesiology,90.0,3.77,KIN 200,Introduction to Kinesiology,22,92.31%,2,No,1,92028,33.390477000000004,-117.209427,40
2774,2017000102,A-,Natural Sciences,91.0,3.54,BIO 110,Introductory Biology II and LAB,22,100%,2,No,1,92028,33.390477000000004,-117.209427,31
2775,2017000102,A,Integrated Core,99.99,3.54,INT 210,Western Civilization &amp; the Formation of Christendom,22,97.83%,2,No,1,92028,33.390477000000004,-117.209427,20
2776,2017000102,B-,Integrated Core,80.76,3.54,INT 310,Modern European Thought &amp; Culture,22,84.38%,2,No,1,92028,33.390477000000004,-117.209427,28
2777,2017000102,A-,Kinesiology,90.0,3.54,KIN 275,Fundamentals of Strength &amp; Conditioning &amp; Ex Prescription,22,100%,2,No,1,92028,33.390477000000004,-117.209427,77
2779,2017000102,B+,Kinesiology,89.78,3.06,KIN 315,Nutrition for Health &amp; Exercise Performance,22,92.31%,2,No,1,92028,33.390477000000004,-117.209427,77
2780,2017000102,C,Kinesiology,75.89,3.06,KIN 325,Motor Control &amp; Learning,22,93.33%,2,No,1,92028,33.390477000000004,-117.209427,40
2782,2017000102,P+,Other,100.0,3.06,Chapel,Chapel,22,96.97%,2,No,1,92028,33.390477000000004,-117.209427,46
2783,2017000102,A,Integrated Core,95.0,3.06,INT 200,Classical Rhetoric,22,67.74%,2,No,1,92028,33.390477000000004,-117.209427,25
2784,2017000102,A,Kinesiology,94.55,3.06,KIN 330,Prevention &amp; Care of Injuries,22,94.87%,2,No,1,92028,33.390477000000004,-117.209427,51
2807,2017000104,C+,Business Management,78.1,2.65,ECO 115,Principles of Macroeconomics,25,78.13%,2,Yes,2,91913,32.619459,-116.98581999999999,89
2808,2017000104,C,Business Management,73.45,2.65,MGT 100,Foundations of Management,25,83.33%,2,Yes,2,91913,32.619459,-116.98581999999999,4
2809,2017000104,B+,General Education,89.29,2.65,THE 100,Orthodox Christianity,25,65.52%,2,Yes,2,91913,32.619459,-116.98581999999999,83
2810,2017000104,B,General Education,83.61,2.65,WRI 105,College Composition II,25,60%,2,Yes,2,91913,32.619459,-116.98581999999999,10
2811,2017000104,B-,Business Management,82.0,1.71,BUS 310,Leadership and Business Ethics,25,79.41%,2,Yes,2,91913,32.619459,-116.98581999999999,44
2812,2017000104,C-,Integrated Core,71.36,1.71,INT 310,Modern European Thought &amp; Culture,25,65.63%,2,Yes,2,91913,32.619459,-116.98581999999999,28
2813,2017000104,B,Business Management,84.0,1.71,MGT 315,Organizational Behavior,25,66.67%,2,Yes,2,91913,32.619459,-116.98581999999999,89
2814,2017000104,F (R),General Education,54.0,1.71,MTH 100,College Algebra,25,66.67%,2,Yes,2,91913,32.619459,-116.98581999999999,57
2815,2017000104,F,General Education,13.0,1.71,SPA 105,Spanish II,25,32.26%,2,Yes,2,91913,32.619459,-116.98581999999999,19
2823,2017000105,A-,Integrated Core,91.0,3.6,INT 100,Interdisciplinary Studies,19,76.92%,2,Yes,1,92083,33.19784,-117.248203,28
2824,2017000105,B+,General Education,89.25,3.6,THE 100,Orthodox Christianity,19,79.31%,2,Yes,1,92083,33.19784,-117.248203,83
2825,2017000105,B+,General Education,86.66,3.6,WRI 100,College Composition I,19,81.48%,2,Yes,1,92083,33.19784,-117.248203,10
2826,2017000105,A-,Business Management,92.25,3.6,MGT 100,Foundations of Management,19,93.33%,2,Yes,1,92083,33.19784,-117.248203,4
2827,2017000105,A,Arts and Humanities,93.0,3.6,ART 300,2D Design,19,100%,2,Yes,1,92083,33.19784,-117.248203,64
2828,2017000105,C+,General Education,78.0,3.23,MTH 100,College Algebra,19,86.67%,2,Yes,1,92083,33.19784,-117.248203,57
2829,2017000105,A-,General Education,90.0,3.23,WRI 105,College Composition II,19,76.19%,2,Yes,1,92083,33.19784,-117.248203,10
2830,2017000105,A-,Integrated Core,90.0,3.23,INT 110,Critical Reasoning,19,72.73%,2,Yes,1,92083,33.19784,-117.248203,29
2832,2017000105,B-,Business Management,80.91,3.35,ACC 220,Financial Accounting,19,93.33%,2,Yes,1,92083,33.19784,-117.248203,79
2833,2017000105,B+,Business Management,88.86,3.35,ECO 115,Macroeconomics,19,88.24%,2,Yes,1,92083,33.19784,-117.248203,89
2834,2017000105,A-,Integrated Core,92.5,3.35,INT 200,Classical Rhetoric,19,66.67%,2,Yes,1,92083,33.19784,-117.248203,25
2835,2017000105,A-,Business Management,90.39,3.35,MKT 260,Principles of Marketing,19,82.35%,2,Yes,1,92083,33.19784,-117.248203,22
2843,2017000106,A,Arts and Humanities,94.9,3.22,HIS 100,Introduction to Historical Study,21,100%,2,No,2,92130,32.945791,-117.214366,20
2844,2017000106,A-,Integrated Core,90.55,3.22,INT 100,Interdisciplinary Studies,21,100%,2,No,2,92130,32.945791,-117.214366,28
2845,2017000106,A,General Education,96.36,3.22,THE 100,Orthodox Christianity,21,100%,2,No,2,92130,32.945791,-117.214366,83
2846,2017000106,D-,General Education,60.14,3.22,MTH 090,Intermediate Algebra,21,100%,2,No,2,92130,32.945791,-117.214366,57
2847,2017000106,A-,General Education,92.28,3.22,WRI 090,Intermediate Composition,21,96%,2,No,2,92130,32.945791,-117.214366,25
2848,2017000106,A,Arts and Humanities,103.89,2.6,ART 100,Intro to Studio Art &amp; Art History,21,95.24%,2,No,2,92130,32.945791,-117.214366,39
2849,2017000106,B,Integrated Core,84.0,2.6,INT 110,Critical Reasoning,21,97.73%,2,No,2,92130,32.945791,-117.214366,29
2850,2017000106,C,General Education,74.21,2.6,THE 105,New Testament,21,100%,2,No,2,92130,32.945791,-117.214366,52
2851,2017000106,A,General Education,93.0,2.6,WRI 100,College Composition I,21,97.67%,2,No,2,92130,32.945791,-117.214366,10
2852,2017000106,F,General Education,58.0,2.6,MTH 100,College Algebra,21,100%,2,No,2,92130,32.945791,-117.214366,57
2854,2017000107,B-,Business Management,81.0,2.1,ECO 110,Microeconomics,24,97.22%,2,Yes,2,92037,32.856347,-117.25005800000001,76
2855,2017000107,F,General Education,50.0,2.1,MTH 105,Introduction to Statistics,24,64.71%,2,Yes,2,92037,32.856347,-117.25005800000001,15
2856,2017000107,B,Business Management,84.0,2.1,ACC 230,Managerial Accounting,24,93.75%,2,Yes,2,92037,32.856347,-117.25005800000001,17
2858,2017000107,B-,Business Management,82.0,2.1,BUS 310,Leadership and Business Ethics,24,100%,2,Yes,2,92037,32.856347,-117.25005800000001,44
2859,2017000107,B+,Business Management,86.54,2.85,ECO 115,Macroeconomics,24,85.29%,2,Yes,2,92037,32.856347,-117.25005800000001,89
2860,2017000107,A,Business Management,94.92,2.85,MGT 320,HR and Talent Management,24,87.76%,2,Yes,2,92037,32.856347,-117.25005800000001,41
2861,2017000107,B-,Integrated Core,82.16,2.85,INT 300,Ethics,24,65%,2,Yes,2,92037,32.856347,-117.25005800000001,29
2862,2017000107,D,General Education,65.13,2.85,MTH 100,College Algebra,24,76.67%,2,Yes,2,92037,32.856347,-117.25005800000001,57
2870,2017000108,F,Integrated Core,50.0,1.0,INT 110,Critical Reasoning,20,63.64%,3,No,2,92583,33.795196000000004,-116.932856,29
2871,2017000108,0,General Education,0.0,1.0,MTH 100,College Algebra,20,37.50%,3,No,2,92583,33.795196000000004,-116.932856,57
2872,2017000108,F (R),General Education,26.87,1.0,THE 105,New Testament,20,40%,3,No,2,92583,33.795196000000004,-116.932856,52
2873,2017000108,C,General Education,73.0,1.0,WRI 105,College Composition II,20,76.19%,3,No,2,92583,33.795196000000004,-116.932856,10
2875,2017000108,P+,Other,100.0,2.54,Chapel,Chapel,20,100%,3,No,2,92583,33.795196000000004,-116.932856,46
2876,2017000108,B,General Education,84.36,2.54,ECO 100,Introduction to Economics,20,85.29%,3,No,2,92583,33.795196000000004,-116.932856,89
2877,2017000108,B,Kinesiology,83.83,2.54,KIN 150,Intro to Athletic Training,20,88.37%,3,No,2,92583,33.795196000000004,-116.932856,51
2878,2017000108,A-,Kinesiology,92.86,2.54,KIN 200,Introduction to Kinesiology,20,75%,3,No,2,92583,33.795196000000004,-116.932856,77
2880,2017000108,D+,Psychology,67.41,2.54,PSY 150,Introduction to Psychology,20,75.86%,3,No,2,92583,33.795196000000004,-116.932856,70
2887,2017000109,D+,Integrated Core,66.0,1.23,INT 110,Critical Reasoning,19,63.64%,3,No,1,91935,32.721919,-116.78820400000001,29
2888,2017000109,D+,Kinesiology,69.0,1.23,KIN 100,Fundamentals of Nutrition,19,76.19%,3,No,1,91935,32.721919,-116.78820400000001,40
2889,2017000109,F,General Education,53.0,1.23,MTH 100,College Algebra,19,70%,3,No,1,91935,32.721919,-116.78820400000001,57
2890,2017000109,C+,General Education,79.0,1.23,WRI 100,College Composition I,19,74.42%,3,No,1,91935,32.721919,-116.78820400000001,10
2897,2018000002,D-,Integrated Core,60.0,0.43,INT 110,Critical Reasoning,20,72.73%,2,No,2,91913,32.619459,-116.98581999999999,29
2898,2018000002,D,Kinesiology,65.0,0.43,KIN 100,Fundamentals of Nutrition,20,71.43%,2,No,2,91913,32.619459,-116.98581999999999,40
2899,2018000002,F,General Education,55.0,0.43,MTH 090,Intermediate Algebra,20,67.86%,2,No,2,91913,32.619459,-116.98581999999999,4
2900,2018000002,F,General Education,21.41,0.43,THE 105,New Testament,20,26.67%,2,No,2,91913,32.619459,-116.98581999999999,52
2902,2018000003,D-,General Education,61.0,0.48,MTH 100,College Algebra,19,66.67%,2,Yes,2,91913,32.619459,-116.98581999999999,57
2903,2018000003,F,General Education,16.0,0.48,SPA 105,Spanish II,19,35.48%,2,Yes,2,91913,32.619459,-116.98581999999999,19
2904,2018000003,D-,Business Management,62.0,0.48,ACC 230,Managerial Accounting,19,90.63%,2,Yes,2,91913,32.619459,-116.98581999999999,17
2905,2018000003,D-,Integrated Core,62.0,0.48,INT 110,Critical Reasoning,19,72.73%,2,Yes,2,91913,32.619459,-116.98581999999999,29
2924,2018000005,D+,Business Management,67.0,0.77,ACC 230,Managerial Accounting,22,96.88%,3,No,1,92377,34.157763,-117.40596599999999,17
2925,2018000005,F,Integrated Core,58.0,0.77,INT 110,Critical Reasoning,22,75%,3,No,1,92377,34.157763,-117.40596599999999,29
2926,2018000005,D,General Education,65.0,0.77,WRI 105,College Composition II,22,78.57%,3,No,1,92377,34.157763,-117.40596599999999,10
2929,2018000005,P+,Other,100.0,2.78,Chapel,Chapel,22,96.97%,3,No,1,92377,34.157763,-117.40596599999999,46
2930,2018000005,A-,General Education,90.7,2.78,COM 105,Oral Communication,22,88%,3,No,1,92377,34.157763,-117.40596599999999,41
2931,2018000005,B-,Business Management,80.68,2.78,ECO 115,Macroeconomics,22,94.12%,3,No,1,92377,34.157763,-117.40596599999999,89
2932,2018000005,C+,Integrated Core,76.5,2.78,INT 200,Classical Rhetoric,22,86.67%,3,No,1,92377,34.157763,-117.40596599999999,25
2933,2018000005,C,General Education,74.44,2.78,BIO 100,Natural World: Biology,22,90.32%,3,No,1,92377,34.157763,-117.40596599999999,77
2957,2018000007,P+,Other,100.0,3.34,Chapel,Chapel,18,100%,2,No,1,92596,33.665848,-117.04966,46
2958,2018000007,A,Business Management,94.03,3.34,ECO 115,Macroeconomics,18,97.06%,2,No,1,92596,33.665848,-117.04966,89
2959,2018000007,A-,Integrated Core,91.47,3.34,INT 100,Interdisciplinary Liberal Arts,18,100%,2,No,1,92596,33.665848,-117.04966,25
2960,2018000007,B+,Business Management,86.85,3.34,MGT 100,Foundations of Management,18,96.55%,2,No,1,92596,33.665848,-117.04966,79
2961,2018000007,A-,General Education,91.51,3.34,WRI 100,College Composition I,18,95.45%,2,No,1,92596,33.665848,-117.04966,10
2978,2018000010,A,Integrated Core,98.22,3.76,INT 100,Interdisciplinary Liberal Arts,18,91.11%,3,No,3,94560,37.504514,-122.03291599999999,25
2979,2018000010,B,Business Management,84.86,3.76,MGT 100,Foundations of Management,18,100%,3,No,3,94560,37.504514,-122.03291599999999,79
2980,2018000010,P+,Other,100.0,3.76,Chapel,Chapel,18,100%,3,No,3,94560,37.504514,-122.03291599999999,46
2982,2018000010,A-,Business Management,91.55,3.76,ECO 115,Macroeconomics,18,100%,3,No,3,94560,37.504514,-122.03291599999999,89
2983,2018000010,A,General Education,96.09,3.76,MTH 100,College Algebra,18,98.04%,3,No,3,94560,37.504514,-122.03291599999999,34
2991,2018000011,P+,Other,100.0,4.0,Chapel,Chapel,18,100%,3,No,3,92563,33.580016,-117.14736,46
2993,2018000011,A,General Education,95.17,4.0,WRI 105,College Composition II,18,97.78%,3,No,3,92563,33.580016,-117.14736,90
2994,2018000011,A,Arts and Humanities,97.95,4.0,COM 100,Introduction to Communication,18,97.06%,3,No,3,92563,33.580016,-117.14736,41
2995,2018000011,A,Psychology,138.52,4.0,PSY 150,Introduction to Psychology,18,93.33%,3,No,3,92563,33.580016,-117.14736,70
2997,2018000012,A-,General Education,90.0,3.0,WRI 090,Intermediate Composition,18,89.13%,3,No,1,92236,33.686145,-116.172918,90
2998,2018000012,B+,General Education,87.12,3.0,MTH 090,Intermediate Algebra,18,84.31%,3,No,1,92236,33.686145,-116.172918,34
2999,2018000012,B,Integrated Core,83.89,3.0,INT 100,Interdisciplinary Liberal Arts,18,88.89%,3,No,1,92236,33.686145,-116.172918,25
3000,2018000012,C,General Education,75.8,3.0,ECO 100,Introduction to Economics,18,91.18%,3,No,1,92236,33.686145,-116.172918,89
3017,2018000014,A,Kinesiology,95.91,4.0,KIN 325,Motor Control &amp; Learning,21,100%,3,No,1,83646,43.649557,-116.43175600000001,40
3018,2018000014,A,Integrated Core,100.4,4.0,INT 200,Classical Rhetoric,21,100%,3,No,1,83646,43.649557,-116.43175600000001,25
3019,2018000014,P+,Other,100.0,4.0,Chapel,Chapel,21,100%,3,No,1,83646,43.649557,-116.43175600000001,46
3020,2018000014,A,Integrated Core,93.58,4.0,INT 300,Ethics,21,100%,3,No,1,83646,43.649557,-116.43175600000001,29
3039,2018000016,WF,General Education,0.0,1.52,MTH 090,Intermediate Algebra,19,81.82%,3,Yes,1,0,0.0,0.0,34
3040,2018000016,B+,General Education,88.02,1.52,WRI 090,Intermediate Composition,19,76.09%,3,Yes,1,0,0.0,0.0,90
3041,2018000016,D,Integrated Core,64.02,1.52,INT 100,Interdisciplinary Liberal Arts,19,88.89%,3,Yes,1,0,0.0,0.0,25
3042,2018000016,P+,Other,100.0,1.52,Chapel,Chapel,19,100%,3,Yes,1,0,0.0,0.0,46
3043,2018000016,D+,Business Management,69.02,1.52,MGT 100,Foundations of Management,19,86.21%,3,Yes,1,0,0.0,0.0,79
3046,2018000017,A-,General Education,90.63,3.61,WRI 090,Intermediate Composition,19,91.30%,3,Yes,1,92069,33.170775,-117.158676,90
3047,2018000017,P+,Other,100.0,3.61,Chapel,Chapel,19,100%,3,Yes,1,92069,33.170775,-117.158676,46
3048,2018000017,A-,Kinesiology,91.5,3.61,KIN 150,Intro to Athletic Training,19,93.02%,3,Yes,1,92069,33.170775,-117.158676,51
3049,2018000017,B,General Education,84.28,3.61,MTH 100,College Algebra,19,96.67%,3,Yes,1,92069,33.170775,-117.158676,57
3076,2018000020,P+,Other,100.0,3.85,Chapel,Chapel,18,100%,3,Yes,2,0,0.0,0.0,46
3077,2018000020,A-,Integrated Core,90.18,3.85,INT 100,Interdisciplinary Liberal Arts,18,93.33%,3,Yes,2,0,0.0,0.0,25
3079,2018000020,A,General Education,94.77,3.85,MTH 090,Intermediate Algebra,18,96.08%,3,Yes,2,0,0.0,0.0,34
3080,2018000020,A,General Education,96.38,3.85,WRI 090,Intermediate Composition,18,86.96%,3,Yes,2,0,0.0,0.0,90
3098,2018000022,P+,Other,100.0,2.93,Chapel,Chapel,21,100%,2,Yes,2,92126,32.908449,-117.14138,46
3099,2018000022,B+,Integrated Core,88.21,2.93,INT 300,Ethics,21,84.78%,2,Yes,2,92126,32.908449,-117.14138,29
3100,2018000022,B-,Kinesiology,80.89,2.93,KIN 315,Nutrition for Health &amp; Exercise Performance,21,100%,2,Yes,2,92126,32.908449,-117.14138,77
3101,2018000022,C-,Kinesiology,72.15,2.93,KIN 350,Measurments and Evaluation in Kinesiology,21,93.94%,2,Yes,2,92126,32.908449,-117.14138,66
3106,2018000023,B,General Education,84.4,2.75,MTH 090,Intermediate Algebra,19,98.04%,2,No,1,92336,34.147718,-117.464506,34
3107,2018000023,B,General Education,84.12,2.75,WRI 090,Intermediate Composition,19,95.65%,2,No,1,92336,34.147718,-117.464506,90
3108,2018000023,P+,Other,100.0,2.75,Chapel,Chapel,19,100%,2,No,1,92336,34.147718,-117.464506,46
3109,2018000023,C+,Kinesiology,76.16,2.75,KIN 150,Intro to Athletic Training,19,100%,2,No,1,92336,34.147718,-117.464506,51
3110,2018000023,C+,Kinesiology,78.33,2.75,KIN 200,Introduction to Kinesiology,19,100%,2,No,1,92336,34.147718,-117.464506,77
3117,2018000024,P+,Other,100.0,3.03,Chapel,Chapel,18,100%,3,Yes,1,85143,33.158660999999995,-111.51905,46
3118,2018000024,B-,Integrated Core,82.59,3.03,INT 100,Interdisciplinary Liberal Arts,18,95.56%,3,Yes,1,85143,33.158660999999995,-111.51905,25
3119,2018000024,B-,General Education,82.56,3.03,WRI 100,College Composition I,18,97.73%,3,Yes,1,85143,33.158660999999995,-111.51905,10
3120,2018000024,A-,Arts and Humanities,91.6,3.03,COM 100,Introduction to Communication,18,97.06%,3,Yes,1,85143,33.158660999999995,-111.51905,41
3121,2018000025,P+,Other,100.0,2.31,Chapel,Chapel,20,100%,2,No,4,95946,39.215586,-121.20324,46
3122,2018000025,A,Integrated Core,94.02,2.31,INT 100,Interdisciplinary Liberal Arts,20,73.33%,2,No,4,95946,39.215586,-121.20324,25
3123,2018000025,A-,Kinesiology,92.14,2.31,KIN 200,Introduction to Kinesiology,20,81.25%,2,No,4,95946,39.215586,-121.20324,77
3124,2018000025,C+,Arts and Humanities,78.68,2.31,COM 100,Introduction to Communication,20,64.71%,2,No,4,95946,39.215586,-121.20324,41
3125,2018000025,F,General Education,55.19,2.31,MTH 090,Intermediate Algebra,20,64.71%,2,No,4,95946,39.215586,-121.20324,34
3132,2018000026,D,General Education,65.06,2.15,MTH 090,Intermediate Algebra,19,78.43%,2,No,1,91901,32.808563,-116.710076,34
3133,2018000026,C,General Education,73.03,2.15,WRI 090,Intermediate Composition,19,78.26%,2,No,1,91901,32.808563,-116.710076,90
3134,2018000026,P+,Other,100.0,2.15,Chapel,Chapel,19,100%,2,No,1,91901,32.808563,-116.710076,46
3135,2018000026,B+,Integrated Core,87.71,2.15,INT 100,Interdisciplinary Liberal Arts,19,62.22%,2,No,1,91901,32.808563,-116.710076,25
3141,2018000027,P+,Other,100.0,2.8,Chapel,Chapel,19,100%,2,No,1,88201,33.643275,-104.396622,46
3142,2018000027,C+,General Education,76.34,2.8,WRI 100,College Composition I,19,90.91%,2,No,1,88201,33.643275,-104.396622,10
3143,2018000027,B-,Kinesiology,80.28,2.8,KIN 150,Intro to Athletic Training,19,100%,2,No,1,88201,33.643275,-104.396622,51
3145,2018000027,B-,Business Management,80.29,2.8,ECO 115,Macroeconomics,19,100%,2,No,1,88201,33.643275,-104.396622,89
3146,2018000027,C+,Business Management,77.41,2.8,MGT 100,Foundations of Management,19,96.55%,2,No,1,88201,33.643275,-104.396622,79
3153,2018000028,B,Integrated Core,83.89,3.43,INT 100,Interdisciplinary Liberal Arts,18,95.56%,2,No,5,0,0.0,0.0,25
3154,2018000028,P+,Other,100.0,3.43,Chapel,Chapel,18,100%,2,No,5,0,0.0,0.0,46
3156,2018000028,A,Arts and Humanities,96.28,3.43,COM 100,Introduction to Communication,18,100%,2,No,5,0,0.0,0.0,41
3161,2018000029,P+,Other,100.0,2.4,Chapel,Chapel,21,100%,2,No,1,98372,47.205607,-122.26608799999998,46
3162,2018000029,D,Business Management,64.01,2.4,ACC 220,Financial Accounting,21,83.33%,2,No,1,98372,47.205607,-122.26608799999998,79
3163,2018000029,B,Business Management,83.39,2.4,ECO 115,Macroeconomics,21,97.06%,2,No,1,98372,47.205607,-122.26608799999998,89
3164,2018000029,C+,Business Management,78.91,2.4,MKT 260,Principles of Marketing,21,88.24%,2,No,1,98372,47.205607,-122.26608799999998,22
3165,2018000029,B+,General Education,87.14,2.4,MTH 100,College Algebra,21,90%,2,No,1,98372,47.205607,-122.26608799999998,57
3181,2018000031,C+,Integrated Core,78.79,3.37,INT 300,Ethics,21,93.48%,3,No,2,93906,36.722714,-121.633649,29
3182,2018000031,A-,Kinesiology,91.18,3.37,KIN 200,Introduction to Kinesiology,21,93.75%,3,No,2,93906,36.722714,-121.633649,77
3183,2018000031,A-,General Education,91.0,3.37,MTH 100,College Algebra,21,93.33%,3,No,2,93906,36.722714,-121.633649,57
3185,2018000031,P+,Other,100.0,3.37,Chapel,Chapel,21,100%,3,No,2,93906,36.722714,-121.633649,46
3192,2018000032,A-,Business Management,92.8,3.94,MGT 100,Foundations of Management,20,100%,2,No,1,92069,33.170775,-117.158676,79
3193,2018000032,P+,Other,100.0,3.94,Chapel,Chapel,20,100%,2,No,1,92069,33.170775,-117.158676,46
3194,2018000032,A,Business Management,96.0,3.94,BUS 305,Business Law,20,100%,2,No,1,92069,33.170775,-117.158676,23
3195,2018000032,A,Integrated Core,95.7,3.94,INT 200,Classical Rhetoric,20,100%,2,No,1,92069,33.170775,-117.158676,25
3196,2018000032,A,Business Management,100.0,3.94,MGT 315,Organizational Behavior,20,100%,2,No,1,92069,33.170775,-117.158676,41
3204,2018000033,P+,Other,100.0,3.72,Chapel,Chapel,19,100%,2,No,5,94513,37.922228000000004,-121.66835900000001,46
3205,2018000033,A,Business Management,93.72,3.72,ECO 115,Macroeconomics,19,100%,2,No,5,94513,37.922228000000004,-121.66835900000001,89
3206,2018000033,B+,Business Management,86.94,3.72,MGT 100,Foundations of Management,19,100%,2,No,5,94513,37.922228000000004,-121.66835900000001,79
3207,2018000033,B+,General Education,86.0,3.72,MTH 100,College Algebra,19,100%,2,No,5,94513,37.922228000000004,-121.66835900000001,57
3209,2018000033,A,Integrated Core,96.84,3.72,INT 300,Ethics,19,97.83%,2,No,5,94513,37.922228000000004,-121.66835900000001,29
3216,2018000034,D+,Kinesiology,68.2,1.0,KIN 150,Intro to Athletic Training,19,88.37%,2,Yes,1,91331,34.255441999999995,-118.421314,51
3217,2018000034,F,General Education,53.0,1.0,MTH 100,College Algebra,19,96.67%,2,Yes,1,91331,34.255441999999995,-118.421314,57
3218,2018000034,P+,Other,100.0,1.0,Chapel,Chapel,19,100%,2,Yes,1,91331,34.255441999999995,-118.421314,46
3219,2018000034,B-,Kinesiology,81.67,1.0,KIN 200,Introduction to Kinesiology,19,78.13%,2,Yes,1,91331,34.255441999999995,-118.421314,77
3220,2018000034,F,General Education,53.0,1.0,WRI 090,Intermediate Composition,19,89.13%,2,Yes,1,91331,34.255441999999995,-118.421314,90
3225,2018000036,A,General Education,98.0,3.93,MTH 100,College Algebra,17,80%,3,No,5,90810,33.819814,-118.222416,57
3226,2018000036,P+,Other,100.0,3.93,Chapel,Chapel,17,100%,3,No,5,90810,33.819814,-118.222416,46
3227,2018000036,A,Kinesiology,98.72,3.93,KIN 150,Intro to Athletic Training,17,86.05%,3,No,5,90810,33.819814,-118.222416,51
3228,2018000036,A-,General Education,91.33,3.93,WRI 100,College Composition I,17,81.82%,3,No,5,90810,33.819814,-118.222416,10
3229,2018000036,A,Kinesiology,93.33,3.93,KIN 200,Introduction to Kinesiology,17,87.50%,3,No,5,90810,33.819814,-118.222416,77
3234,2018000038,P+,Other,100.0,3.34,Chapel,Chapel,24,100%,2,No,3,98108,47.534862,-122.30579399999999,46
3235,2018000038,A-,Arts and Humanities,90.17,3.34,LIT 200,Intro to Literature &amp; Creative Writing,24,100%,2,No,3,98108,47.534862,-122.30579399999999,10
3236,2018000038,C+,General Education,76.0,3.34,MTH 100,College Algebra,24,96.67%,2,No,3,98108,47.534862,-122.30579399999999,57
3238,2018000038,B-,General Education,80.56,3.34,BIO 100,Natural World: Biology,24,96.77%,2,No,3,98108,47.534862,-122.30579399999999,77
3239,2018000038,A,General Education,96.9,3.34,COM 105,Oral Communication,24,100%,2,No,3,98108,47.534862,-122.30579399999999,41
3246,2018000039,P+,Other,100.0,3.8,Chapel,Chapel,18,100%,2,No,1,92064,32.983606,-117.019035,46
3247,2018000039,A,Business Management,95.13,3.8,ECO 115,Macroeconomics,18,97.06%,2,No,1,92064,32.983606,-117.019035,89
3248,2018000039,A-,Integrated Core,92.09,3.8,INT 100,Interdisciplinary Liberal Arts,18,88.89%,2,No,1,92064,32.983606,-117.019035,25
3249,2018000039,B+,Business Management,88.32,3.8,MGT 100,Foundations of Management,18,96.55%,2,No,1,92064,32.983606,-117.019035,79
3250,2018000039,A,General Education,95.85,3.8,WRI 100,College Composition I,18,95.45%,2,No,1,92064,32.983606,-117.019035,10
3251,2018000039,A,General Education,96.13,3.8,MTH 100,College Algebra,18,96.08%,2,No,1,92064,32.983606,-117.019035,34
3271,2018000044,P+,Other,100.0,3.55,Chapel,Chapel,20,100%,2,No,1,92117,32.824571999999996,-117.199518,46
3272,2018000044,A,Business Management,95.73,3.55,ECO 115,Macroeconomics,20,100%,2,No,1,92117,32.824571999999996,-117.199518,89
3273,2018000044,B-,Business Management,82.68,3.55,MGT 100,Foundations of Management,20,100%,2,No,1,92117,32.824571999999996,-117.199518,79
3275,2018000044,B+,Business Management,88.67,3.55,BUS 305,Business Law,20,93.33%,2,No,1,92117,32.824571999999996,-117.199518,23
3276,2018000044,A,General Education,97.18,3.55,COM 105,Oral Communication,20,94%,2,No,1,92117,32.824571999999996,-117.199518,41
